Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Argentina,2013,99.3,6.05291843670451,2940.92954480901,1.90582718492547,29.8801867108348,47.7252683430489,4.45051517563295,13.9862181852131,89.9321041467291,720407105300.0,-693680874.42887,38878399.0
Argentina,2014,100.0,6.71270351428559,3036.20733612121,2.19446368779587,29.8955086017781,49.2769310703152,3.97904399030135,14.0678103429199,92.3836622192159,702306046000.0,900177659.49876,39322940.0
Argentina,2015,99.7,5.1566859021408,3140.46420669387,2.0131044297923,28.2233390857151,48.5125165867979,4.83956355235928,13.5477809878759,56.2877376502912,721487146600.0,-6600221085.86428,39778119.0
Argentina,2016,99.9,6.26456582010254,3104.98925144338,1.60915636462437,25.675859258253,51.8183670696916,5.62763211520174,11.9993689573056,0.0,706477848600.0,-4035498243.93579,40206401.0
Argentina,2017,100.0,5.23162237725058,3005.76483124641,1.545549421878,27.6166543077641,57.2471231221334,4.19722062014226,13.2189146873857,0.0,726389947800.0,-15142501699.7644,40602996.0
Argentina,2018,100.0,4.53787889681146,2971.34364838317,1.56130790190736,27.7302452316076,59.4039509536785,4.70095367847411,8.60875532272658,0.0,707377443000.0,-9678495464.2347,40978889.0
Argentina,2019,100.0,5.3185559967348,2876.71852724712,0.920783920318154,25.0066282110996,60.1906058543227,6.07502418401347,2.49167707965442,0.0,693223803600.0,13390550040.8823,41311179.0
Argentina,2020,100.0,6.35703367575527,2827.42739776861,1.2996947212506,21.0892679568576,56.4028566858828,7.44490726897214,1.22800616932178,0.0,624591286200.0,12094415410.6254,41551256.0
Argentina,2021,100.0,7.29128249622041,2942.91077511635,1.81813433956352,16.4741903263502,55.1766234274933,7.10084280482311,5.96636808897159,0.0,689809934000.0,14995374116.8722,41700565.0
Argentina,2022,100.0,6.54156940484837,2833.11909750338,1.82223900580178,20.2403103436438,48.7569089223798,5.48456864293316,1.95855821220972,0.0,731341633700.0,5641696321.91141,41826509.0
Argentina,2023,100.0,5.8467786039069,2821.77233232234,1.41051696523506,27.1847534960094,45.6150150069315,6.45096165493479,0.41571453028353,0.0,717769483200.0,-8863234392.09042,41983907.0
Australia,2001,100.0,3.50187086251559,10712.6953616557,83.1517795534979,7.53800609878247,7.68847241079974,0.0,-126.513619589279,98.047039481528,1430830000000.0,2098010276.45844,16412043.0
Australia,2002,100.0,3.94425123897134,10860.6165309325,77.0486256069961,7.05499769286546,13.9438816989299,0.0,-130.62417241528,98.2353774183339,1487345000000.0,-4719220380.96603,16626336.0
Australia,2003,100.0,2.88733584935682,10524.4038293295,77.4132480684052,7.46822945444335,13.3042273167815,0.0,-125.288697474724,93.9279842959948,1533323000000.0,-14416671532.8361,16843424.0
Australia,2004,100.0,3.05821916621123,10659.607854863,77.5812707390318,7.14911090293039,13.5352005393243,0.0,-125.872031210017,94.078746859524,1598013000000.0,-19188702454.739,17046218.0
Australia,2005,100.0,2.88921493532413,10556.3090045202,79.4226984474087,6.82790290837525,10.4102339820687,0.0,-131.07466643319,94.2107666945866,1648438000000.0,-14812982446.7777,17275230.0
Australia,2006,100.0,2.74011319183189,10597.6901042229,79.5863935059915,6.88442211055276,9.76076966026715,0.0,-123.806910241922,94.3348375489683,1694115000000.0,-12739769551.3515,17536551.0
Australia,2007,100.0,2.21281034154067,10899.9001422246,76.9971664397899,5.97021677352492,13.0981217896256,0.0,-127.764290888944,94.5279081721256,1758313000000.0,-22880495663.2295,17890272.0
Australia,2008,100.0,2.35417910776003,10718.0040057039,75.7886860098429,4.95721997689344,14.3717031012947,0.0,-123.534610231999,94.5650942930512,1822034000000.0,-12412041447.6859,18279705.0
Australia,2009,100.0,2.31423570641201,10852.238877323,74.8797156696029,4.78276287263965,16.1475165416139,0.0,-128.476617177707,95.8145618949755,1857652000000.0,-8745692016.93037,18682547.0
Australia,2010,100.0,2.21824837320556,10797.8712539857,71.324818630497,5.36252132303759,17.6461741226386,0.0,-146.708346775748,94.9191122643155,1898707000000.0,6038557388.26251,18995744.0
Australia,2011,100.0,2.30485962261499,10786.2910084609,68.0198986946897,6.61990027020001,19.2988191550538,0.0,-141.942926034157,95.193382300112,1944176000000.0,13124139505.3402,19285449.0
Australia,2012,100.0,2.27317856495351,10486.5668300015,68.6119521912351,5.61075697211155,19.3513944223108,0.0,-149.195380388504,95.0858882901384,2021019000000.0,-24017679329.5256,19651972.0
Australia,2013,100.0,2.29076813252161,10298.9307954829,63.7968006605502,7.32296814689225,20.4634272452894,0.0,-164.691774053304,92.6074388252159,2074666000000.0,-9513266324.06123,20022958.0
Australia,2014,100.0,2.22695769265967,10130.0980086375,61.392428066633,7.43907117617365,21.966279656739,0.0,-185.555789490717,92.1303249972753,2128632000000.0,-8959866226.01974,20358615.0
Australia,2015,100.0,2.37664391487055,10157.1653840203,63.1332652712618,5.34101878592625,20.8405003754007,0.0,-197.386842232292,92.4085902645688,2174703000000.0,-28773630265.3471,20690828.0
Australia,2016,100.0,2.41300232330254,10196.8479313322,63.6138825930166,5.9653714045377,19.6314383406937,0.0,-206.230251314561,0.0,2234630000000.0,-12915729462.2999,21050112.0
