Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Algeria,2018,99.6,11.2438301354995,174.8053,1568.47300560981,0.0,0.152615994678006,98.4855797451182,0.0,-152.180719220858,0.0,8132190451500.0,-15701394555.1328,30563352.0
Algeria,2019,99.5,11.4791798857164,181.6864,1651.17795668766,0.0,0.186443588548439,98.5685548168682,0.0,-133.352746490554,0.0,8205380165500.0,-15707643325.1665,31380950.0
Algeria,2020,99.7,12.8341693887186,171.9505,1591.97709300405,0.0,0.0619038595161392,98.8326700776957,0.0,-124.741531780498,0.0,7795111157300.0,-17445134687.8102,32174559.0
Algeria,2021,99.8,11.2354345605089,181.3215,1681.48239613152,0.0,0.0128820705000586,98.9811453331772,0.0,-137.103046514603,0.0,8091325381200.0,-2441125782.80979,32953086.0
Angola,2002,26.3,9.3867906039345,15.9155,86.9705781477391,0.0,64.7592067988669,10.1983002832861,0.0,-575.454279908967,28.2598197350819,6423975180462.56,1452563748.26,9165075.0
Angola,2003,27.4,10.000076846294,17.3297,96.8027128389042,0.0,62.2055137844612,9.02255639097744,0.0,-520.181044616697,32.0081448200934,6647999263566.4,908005425.5,9690386.0
Angola,2004,28.4,10.3635914449926,17.6903,88.8689466900833,0.0,78.1988408381632,8.02496656263932,0.0,-590.353277770867,32.4471399237354,7407191697664.37,3163257044.7,10238515.0
Angola,2005,29.4,8.56536731681355,15.6389,102.378493445781,0.0,84.262419416003,6.8259385665529,0.0,-812.883915448714,28.4568298898292,8455663204014.97,9142016030.83224,10803050.0
Angola,2006,30.5,8.44100897843275,16.3203,129.55102949102,0.0,85.2832718739524,6.03419376466644,0.0,-818.589834028409,32.7423539582404,9456967440817.37,17057651830.29,11387473.0
Angola,2007,37.5,8.61624042186554,17.0559,135.187417453981,0.0,76.7901234567901,5.55555555555556,0.0,-905.051352241387,34.9546254708147,10686627500852.2,18402195771.95,12000962.0
Angola,2008,38.5,7.81831803295795,19.1195,168.453501851714,0.0,77.6845223401629,4.44334732164898,0.0,-910.835918394143,37.7244935206324,11839355115351.8,21121860427.389,12641893.0
Angola,2009,33.8,10.3661474573001,21.0889,197.325219398831,0.0,66.5242165242165,3.66300366300366,0.0,-775.821353502783,40.7793840600227,12075619995294.2,-378203335.81,13309339.0
Angola,2010,35.0,10.0913068588653,22.7399,206.998764747106,0.0,67.9574233804368,3.30335841438796,0.0,-745.524556600854,43.7741269267812,12714862952452.7,16030508137.59,14007418.0
Angola,2011,34.6,9.55630602216444,23.6501,206.950497705211,0.0,70.9329084793769,3.18640467339352,0.0,-646.021743098799,44.6920179755016,13171818547088.0,24144210612.8378,14735211.0
Angola,2012,37.3,9.69697932366603,24.7162,271.711996881012,0.0,70.9338521400778,2.33463035019455,0.0,-604.183229225818,47.4299488564142,14291834458233.1,26025090817.0469,15486973.0
Angola,2013,38.4,10.3295507034404,28.5343,276.087476620084,0.0,57.9710144927536,2.21075902726603,0.0,-608.406709679259,45.8357304355483,14989713495277.8,20169149501.7638,16257565.0
Angola,2014,32.0,11.4782158930109,30.8873,310.374128214116,0.0,52.5313124934217,1.89453741711399,0.0,-637.730286963911,55.0987261307989,15687593118527.0,7313313527.45261,17036081.0
Angola,2015,42.0,13.6637723279796,33.0865,306.167406982606,0.0,54.3330588719638,1.85261424454508,0.0,-568.890997777471,26.3540802954846,15807317332586.6,-3531471369.03048,17884616.0
Angola,2016,41.8,14.6711413269562,31.2748,331.664900231538,0.0,58.3241657499083,0.782361569490282,0.0,-599.543341860681,0.0,15538509101784.1,2642737292.90861,18764489.0
Angola,2017,42.9,14.9283260019113,27.9951,315.199297075801,0.0,71.2636185864606,0.372474159605177,0.0,-564.384879106892,0.0,15515295155675.9,7341498049.76021,19678361.0
Angola,2018,45.3,13.3397905678931,25.8142,370.736573340292,0.0,79.3361884368308,0.642398286937901,0.0,-558.350771386648,0.0,15423070499371.0,15501535712.0518,20616442.0
Angola,2019,45.6,12.3911585673156,26.9963,411.266102851676,0.0,71.6427857380873,10.9430189936688,0.0,-488.932842686293,0.0,15391502520771.6,12880814227.186,21582821.0
Angola,2020,47.0,15.0223674268676,20.538,439.11817393803,0.0,74.9063670411985,9.94925697716564,0.0,-474.846560770552,0.0,14769309150941.6,5858757656.16661,22565072.0
Angola,2021,48.2,16.561923695764,25.5641,394.730414127544,0.0,72.2674305058264,10.9432979623722,0.0,-373.796632306382,0.0,15079871171186.5,14829788600.5571,23569217.0
Argentina,2001,95.5,4.56858960891786,131.3266,2093.11272544125,1.21791601038223,51.3687689952747,37.5745945826031,7.82993544379617,-44.4626056000365,88.1323497632881,458795611600.0,3521810643.66417,33624665.0
Argentina,2002,96.1,10.2066467144411,124.0151,2027.03969505237,0.848649606997222,53.0346906211217,37.3417646711187,6.88020802553041,-44.6310234240684,86.5116522119285,408812193300.0,15717280000.0,34059720.0
Argentina,2003,96.3,10.328166939117,135.1954,2142.62949662924,0.804769972631305,45.9479125939441,42.4898996481168,8.21712498370911,-40.163476366035,85.6996942186908,444939093600.0,15611500000.0,34486742.0
Argentina,2004,96.5,8.36248661002826,149.6663,2257.01230392193,1.51178212786326,38.056821468104,47.1723890345935,7.84710657266227,-28.0318418904938,87.9335613804311,485115195200.0,11933610000.0,34910927.0
Argentina,2005,96.7,7.93875427420938,153.6289,2369.54636954086,1.91549508835292,40.5005247284176,44.9602435496223,6.49812326863259,-24.0369585420304,88.7429296926283,528055942500.0,12095220000.0,35343493.0
Argentina,2006,97.0,6.93557229126392,162.5613,2502.54182544269,1.822044356687,42.0515849229576,41.9431613835901,6.77955643313,-18.716216878307,91.3111577484447,570549404200.0,13266642573.1592,35780106.0
Argentina,2007,97.2,7.45235394606923,173.0862,2596.61182489948,1.93491567220045,34.85138050993,45.6779250517416,6.35607028050553,-8.75840895532529,89.0822082089819,621942502600.0,12570579976.2887,36207032.0
Argentina,2008,97.5,7.3189545972436,179.2241,2702.5677820099,2.25052695465319,32.3455838329492,47.5415617541644,6.01179394227694,-6.2618363216528,92.1748284131746,647176159700.0,13340936973.2967,36645376.0
Argentina,2009,97.8,5.2736234689014,164.8204,2680.09920295595,1.94608820740838,35.953182724687,46.0350802628568,6.67113479582829,-7.65587146065983,96.1456734325114,608872876400.0,16652818510.3957,37104726.0
Argentina,2010,98.8,7.13216745078964,177.3162,2777.73377864652,2.0354719676229,33.6309169543308,44.4343927310241,5.69059238979487,-2.40216761508806,93.3868831109177,670523679400.0,12343520648.5782,37569823.0
Argentina,2011,99.0,6.99873377022519,184.8342,2880.78357735056,2.42923107809677,30.7970287090946,45.8920822201288,4.91946319089463,7.23741684026606,91.9428841304471,710781597200.0,9198443049.71353,38019648.0
Argentina,2012,99.1,5.7817442068501,188.8365,2917.62283612664,2.23213629481545,27.3052668714813,49.7596613209073,4.70020138470358,8.11439908863806,89.9402874146777,703485989500.0,10943688062.5681,38453227.0
Argentina,2013,99.3,6.05291843670451,193.179,2940.92954480901,1.90582718492547,29.8801867108348,47.7252683430489,4.45051517563295,13.9862181852131,89.9321041467291,720407105300.0,-693680874.42887,38878399.0
Argentina,2014,100.0,6.71270351428559,190.0264,3036.20733612121,2.19446368779587,29.8955086017781,49.2769310703152,3.97904399030135,14.0678103429199,92.3836622192159,702306046000.0,900177659.49876,39322940.0
Argentina,2015,99.7,5.1566859021408,196.1938,3140.46420669387,2.0131044297923,28.2233390857151,48.5125165867979,4.83956355235928,13.5477809878759,56.2877376502912,721487146600.0,-6600221085.86428,39778119.0
Argentina,2016,99.9,6.26456582010254,194.1404,3104.98925144338,1.60915636462437,25.675859258253,51.8183670696916,5.62763211520174,11.9993689573056,0.0,706477848600.0,-4035498243.93579,40206401.0
Argentina,2017,100.0,5.23162237725058,191.3736,3005.76483124641,1.545549421878,27.6166543077641,57.2471231221334,4.19722062014226,13.2189146873857,0.0,726389947800.0,-15142501699.7644,40602996.0
Argentina,2018,100.0,4.53787889681146,189.8171,2971.34364838317,1.56130790190736,27.7302452316076,59.4039509536785,4.70095367847411,8.60875532272658,0.0,707377443000.0,-9678495464.2347,40978889.0
Argentina,2019,100.0,5.3185559967348,183.2687,2876.71852724712,0.920783920318154,25.0066282110996,60.1906058543227,6.07502418401347,2.49167707965442,0.0,693223803600.0,13390550040.8823,41311179.0
Argentina,2020,100.0,6.35703367575527,168.1154,2827.42739776861,1.2996947212506,21.0892679568576,56.4028566858828,7.44490726897214,1.22800616932178,0.0,624591286200.0,12094415410.6254,41551256.0
